ID,Start time,Completion time,Last modified time,Do you agree with the terms and conditions?,Year Level,Institute,Degree Program - IABF - Manila,Degree Program - IARFA,Degree Program - IAS,Degree Program - IE,Degree Program - IHSN,Degree Program - ITHM,Degree Program - FEU Makati,Are you currently a working student?,Are you currently taking Wellness and Recreation Program (WRP) this 1st Semester?,What is your WRP curriculum?,Were you able to secure a slot that is convenient for your time?,What are the reasons that your slot is inconvenient for you?,"What schedule of WRP should be opened with more slots? 

(Select at most 3.)
",There should be a walk-in session (Community Dance Fitness) in the afternoon.,The one fixed booking per week is not enough for me to comply with the minimum-hour requirement.,The WRP booking system is accessible.,Walk-in sessions are more reliable than scheduling an appointment through Power Apps.,"There are enough WRP considerations offered for students with disabilities (physical, mental, etc.)",The WRP time slot I enrolled does not reflect on the student central.,The new policies and guidelines of WRP for the Academic Year 2023-2024 consider the welfare of the students from all year levels.,"On a scale of 1 to 10, how satisfied are you with the overall procedures and new system of the Wellness and Recreation Program?","Please put any other concerns, suggestions, and recommendations you may have in relation to the new guidelines released about the Wellness and Recreation Program that is not stated in this survey."
253,8/16/23 22:51:23,8/16/23 23:08:35,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Language and Literature Studies (English Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);,Tuesday 10:30 AM - 12:00 PM;Tuesday 6:00 PM - 7:30 PM;Saturday 6:00 PM - 7:30 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,1,"The schedule of CDF is inconsiderate especially for those who are not within the vicinity of the school, instructions are not well explained, announcements are delayed. Having WRP on higher levels (3rd yr-5th year) should not be implemented anymore because during those years, the subjects requires more focus especially  on more important matters such as OJT and thesis. The “fixed schedule” looks like a band-aid solution, for it only adds confusion and stress to the students, because there are no clear instructions on how it will be implemented, that being said, the “wellness” in WRP that they imply does not meet the meaning of it towards the students. The community is already growing, having this kind of system delays is not giving the “wellness” that they are aiming for. If they are really aiming for that “wellness” they should consider the heed of the students."
254,8/16/23 23:05:42,8/16/23 23:08:41,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Financial Management Track),,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Monday 12:00 PM - 1:30 PM;Tuesday 4:30 PM - 6:00 PM;Wednesday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,1,Remove wrp course for 3rd year and up
255,8/16/23 22:50:01,8/16/23 23:08:43,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Thursday 3:00 PM - 4:30 PM;Thursday 4:30 PM - 6:00 PM;Friday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,4,"Lessen required minimum hours to ensure that the students will be able to comply with the requirement since the students are only able to book a wrp session once a week.

Provide other activities that the students could attend aside from the activities that they could book in power apps.

Increase the maximum number of hours or activities that the students could attend for the optional activities."
256,8/16/23 23:01:14,8/16/23 23:08:44,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Financial Management Track),,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);,Monday 10:30 AM - 12:00 PM;Monday 9:00 AM - 10:30 AM;Monday 7:30 AM - 9:00 AM ;,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,1,"my concern is naging mas mahirap lang ang wrp now compared sa old wrp (booking through powerapps 3 times per day), also come on FEUCSO, WRP is a long time problem that has been plaguing FEU students for the longest time, it does not serve its purpose that is supposed to be wellness, but rather gives more problems to students as they juggle their personal life and problems with their academic responsibilities. Please do better, please keep in mind the TRUE WELLNESS OF THE STUDENTS.

Also, the stampede that happened earlier this morning (August 16, 2023) due to the walk in CDF should be an eye opener for you the student government and the administration of the school specially the WRP Department. It does not cause wellness at any form but rather put a danger on everyones life and health. Students do not have to stampede just for a 1.5 hour credit. 

PLEASE LISTEN TO THE STUDENTS."
257,8/16/23 23:00:36,8/16/23 23:08:49,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Arts in Language and Literature Studies (Literature Track),,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Slots have yet to appear in the booking app.;,Tuesday 10:30 AM - 12:00 PM;Tuesday 1:30 PM - 3:00 PM;Tuesday 3:00 PM - 4:30 PM;,Agree,Strongly Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,1,"As a freshman, I am not fully sure about the previous policies. However, I have heard that there used to be a policy that grades you from A-F depending on the number of hours you've complied with instead of getting an automatic F for incompete hours. I hope for them to return such policy.

Moreover, I would like to suggest that they bring back the old policy where students can book thrice a week. This will help students accomplish the needed hours more conveniently. In lieu of this, I hope cancellation of booking slots may be implemented. 

Lastly, for them to remove the new 3 absences only policy. Students are humans with lives outside academics. Emergencies are not a rare occurrence. I hope they take that into account.

The new policy by the deparment right now is not accessible to many students. It is, for the lack of better term, ableist (by oushing students go attend CDF) and does not prioritise the welfare of the institution's students."
258,8/16/23 23:04:38,8/16/23 23:08:52,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 4:30 PM - 6:00 PM;Wednesday 6:00 PM - 7:30 PM;Thursday 6:00 PM - 7:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,There must be a proper run through with the new set of guidelines and/or mandates of WRP. They cannot expect the students to just attend the existing WRP ACTIVITIES without giving us a PROPER orientation regarding the new system. 
259,8/16/23 23:03:02,8/16/23 23:08:59,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Night Schedule;,Friday 7:30 AM - 9:00 AM;Friday 9:00 AM - 10:30 AM;Thursday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,1,The former booking method is actually better than the new proposed system. Just add more slots and schedules as well as improve the app itself so it won't cause errors.
260,8/16/23 23:06:23,8/16/23 23:09:44,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 10:30 AM - 12:00 PM;Tuesday 10:30 AM - 12:00 PM;Wednesday 10:30 AM - 12:00 PM;,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,1,-
261,8/16/23 22:57:01,8/16/23 23:09:47,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Wednesday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,"What the FEU students wanted is an accessible WRP, especially for the seniors. The new guidelines do not make sense especially if you have afternoon or night classes which are until 9 pm. From 9 pm you only have 9 hrs gap to attend the morning CDF which is as early as 6 am for registration. The biggest concern here is those students that are hours away from home to school. I suggest bringing back the old system which is a booking schedule at our preferred time without limiting it to 3x a week. It is also preferred to have a canceled booking option to give more opportunities or access to other students. CDFs in the morning should remain to have walk-in access as well."
262,8/16/23 23:02:41,8/16/23 23:09:51,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Monday 6:00 PM - 7:30 PM ;Monday 4:30 PM - 6:00 PM;Monday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,1,"Bring back the allowed booking of 3 times maximum in a week, to allow students book in their flexible time, as the single booking of activity was not announced prior,  hence, the schedules picked by the students upon enrollment were thought as just ""dummy"" WRP schedule just like in the previous WRP courses we took in the previous school year.

If not, we hope the required hours will be lessened to ease the burden of students finishing or complying on the required hours with the new system we werent prepared for and were not given a heads up by the university or the wrp department prior the enrollment."
263,8/16/23 23:06:37,8/16/23 23:09:53,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Political Science (Philippine Politics and Foreign Relations Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);,Saturday 1:30 PM - 3:00 PM;Friday 3:00 PM - 4:30 PM;Tuesday 4:30 PM - 6:00 PM;,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,1,"detailed guidelines regarding the booking activities, hours needed are not yet posted. fixed schedules' instructions also unclear. "
264,8/16/23 23:07:20,8/16/23 23:09:56,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 1:30 PM - 3:00 PM ;Wednesday 1:30 PM - 3:00 PM;Friday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,3,"Please return the old system of booking, but at the same time, add slots and other sessions. "
265,8/16/23 22:58:11,8/16/23 23:09:57,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Accountancy,,,,,,,No,Yes,2018 curriculum (WRP01XX),Yes,,Saturday 3:00 PM - 4:30 PM;Friday 6:00 PM - 7:30 PM;Thursday 6:00 PM - 7:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,1,"I think it would be hard for the students taking up OJT this semester to comply with the required number of hours, considering that they have implemented a full f2f for the OJT, since online bookings are not yet considered. A lot of companies' offices are 1-2 hours away from FEU Manila and I think it is not feasible to be at school for the last WRP session of the day, after an 8-5 work. "
266,8/16/23 23:03:19,8/16/23 23:09:57,,Yes,2nd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Accountancy,,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Tuesday 3:00 PM - 4:30 PM;Thursday 3:00 PM - 4:30 PM;Friday 3:00 PM - 4:30 PM;,Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,2,"- bring back maximum of 3 activities per week but put a feature where students can cancel incase they just pressed the wrong schedule
- reduce required hours!
- release a more detailed guideline regarding the wrp system for this semester
- make wrp optional for 3rd - 5th year (if not, then again, reduce required hours!!!)"
267,8/16/23 23:04:00,8/16/23 23:10:01,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Political Science (Philippine Politics and Foreign Relations Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Tuesday 1:30 PM - 3:00 PM;Tuesday 3:00 PM - 4:30 PM;Thursday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,I hope the wrp department woukd bring back the old system and free schedule of booking through power apps and consider having cancellation feature in powerapps.
268,8/16/23 23:02:34,8/16/23 23:10:05,,Yes,1st Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Accountancy,,,,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Saturday 6:00 PM - 7:30 PM;Thursday 6:00 PM - 7:30 PM;Wednesday 6:00 PM - 7:30 PM;,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,5,I can't schedule 
269,8/16/23 23:06:43,8/16/23 23:10:10,,Yes,2nd Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);,Monday 3:00 PM - 4:30 PM;Wednesday 9:00 AM - 10:30 AM;Wednesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,1,"please let us book 3 activities in a week, hindi enough ang isang book lang tas the rest ay cdf. "
270,8/16/23 23:07:58,8/16/23 23:10:11,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Monday 4:30 PM - 6:00 PM;Tuesday 4:30 PM - 6:00 PM;Wednesday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,1,I hope they’ll bring back the old WRP which books 3 times per week and isn’t fixed scheduled
271,8/16/23 23:06:30,8/16/23 23:10:15,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Medical Biology Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Tuesday 12:00 PM - 1:30 PM;Tuesday 10:30 AM - 12:00 PM;Friday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,1,"i hope they clarify further the new guidelines as soon as possible. moreover, they should always provide an early advisory to the students before any changes are done to the wrp system "
272,8/16/23 23:03:58,8/16/23 23:10:16,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 7:30 AM - 9:00 AM ;Thursday 7:30 AM - 9:00 AM;Thursday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,3,"Personally, I think it is better that students are able to book at least three WRP sessions in a week, and also I think it is better if we are free to pick the timeslot that is convenient for us instead of having a fixed timeslot. Because there are people like me that live far from the University but our timeslots are early in the morning, if there are more choices in timeslots, we will be able to book WRP sessions in between classes during our vacant time."
273,8/16/23 23:06:10,8/16/23 23:10:18,,Yes,4th Year,FEU Makati,,,,,,,Bachelor of Science in Business Administration (Marketing Management Track),Employed (Part-time),Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 12:00 PM - 1:30 PM;Tuesday 4:30 PM - 6:00 PM;Tuesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,1,We have no CDF in FEU- Makati. No alternatives for walk ins. No clear instructions and orientation on what to do. Very disappointed in the WRP Department! 
274,8/16/23 23:08:54,8/16/23 23:10:24,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Accountancy,,,,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Friday 1:30 PM - 3:00 PM;Thursday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,1,BAKLA AYOSIN NYO LNG
275,8/16/23 23:00:54,8/16/23 23:10:32,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Limited Slots of Other Schedules;,Monday 3:00 PM - 4:30 PM;Thursday 1:30 PM - 3:00 PM;Tuesday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,1,"The new implementation of one-time per week scheduling makes it harder for the students to finish the supposed hours to be completed. Also, living far from the university doubles the hardship of attending the walk-in WRP activity, given that the time for the activity is very early."
276,8/16/23 23:05:16,8/16/23 23:10:33,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;Conflicting Schedule;,Monday 3:00 PM - 4:30 PM;Monday 12:00 PM - 1:30 PM;Monday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,1,n/a
277,8/16/23 23:05:38,8/16/23 23:10:34,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Medical Biology Track),,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Tuesday 10:30 AM - 12:00 PM;Thursday 7:30 AM - 9:00 AM;Saturday 7:30 AM - 9:00 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,2,Don’t limit the student’s methods on securing slots. The guidelines last sem was better than this.
278,8/16/23 23:07:17,8/16/23 23:10:35,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,Employed (Full-time),Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);,Wednesday 1:30 PM - 3:00 PM;Monday 1:30 PM - 3:00 PM ;Monday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly disagree,1,n/a
279,8/16/23 23:01:33,8/16/23 23:10:38,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Microbiology Track),,,,,No,Yes,2018 curriculum (WRP01XX),Yes,,Thursday 12:00 PM - 1:30 PM;Friday 10:30 AM - 12:00 PM;Tuesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,1,Mas okay pa last time! Nakakapagbook anytime kaya mas maaga natatapos ang required hours! Patagal ng patagal palala ng palala ang sistema ng WRP ??
280,8/16/23 23:09:29,8/16/23 23:10:39,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;,Wednesday 9:00 AM - 10:30 AM;Saturday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,2,n/a
281,8/16/23 23:02:29,8/16/23 23:10:44,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Political Science (Philippine Politics and Foreign Relations Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Tuesday 1:30 PM - 3:00 PM;Tuesday 3:00 PM - 4:30 PM;Tuesday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,1,"Before implementing or releasing new guidelines, it is important to seek the opinions of the students first. Students are more knowledgeable about what or how the issues in WRPs can be resolved more easily. Instead of releasing guidelines without conducting a survey and without clear and proper explanations for the new guidelines, it is better to involve students in the decision-making process."
282,8/16/23 23:03:05,8/16/23 23:10:55,,Yes,2nd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Accountancy,,,,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Monday 9:00 AM - 10:30 AM;Tuesday 1:30 PM - 3:00 PM;Wednesday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,1,   
283,8/16/23 23:08:57,8/16/23 23:11:03,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Marketing Management Track),,,,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Thursday 12:00 PM - 1:30 PM;Thursday 1:30 PM - 3:00 PM;Thursday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,1,LOL
284,8/16/23 23:06:35,8/16/23 23:11:06,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Marketing Management Track),,,,,,,No,Yes,2018 curriculum (WRP01XX),No,Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);,Monday 4:30 PM - 6:00 PM;Monday 3:00 PM - 4:30 PM;Thursday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,3,The WRP Department must remove the WRP for students who are in 3rd- 5th year
285,8/16/23 23:08:19,8/16/23 23:11:13,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Friday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,Maglabas ng clear guidelines hindi yung kami pa manghuhula pano mangyayari. Bulok
286,8/16/23 23:04:44,8/16/23 23:11:18,,Yes,3rd Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);,Saturday 3:00 PM - 4:30 PM;Thursday 4:30 PM - 6:00 PM;Friday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly disagree,Disagree,3,Better if walk-ins are allowed and sufficient enough to cater to majority of students. There should be  a CDF in the afternoon (before evening). Please be considerate with the time scheduled for CDF; a lot of students come far from the university's area.
287,8/16/23 23:06:35,8/16/23 23:11:21,,Yes,1st Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Accountancy,,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Thursday 3:00 PM - 4:30 PM;Tuesday 4:30 PM - 6:00 PM;Friday 3:00 PM - 4:30 PM;,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,4,n/a
288,8/16/23 22:58:37,8/16/23 23:11:21,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2018 curriculum (WRP01XX),Yes,,Thursday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,4,n/a
289,8/16/23 22:59:02,8/16/23 23:11:25,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Convergent Media Track),,,,,No,Yes,2018 curriculum (WRP01XX),Yes,,Monday 12:00 PM - 1:30 PM;Friday 12:00 PM - 1:30 PM;Tuesday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,1,"Hi. I hope that all students, especially the higher years, would be able to easily access the powerapps in order to book their preferred activity, anytime. Also, the schedule that the students have on their central accounts would not mean that it is the only time wherein they will have the chance to do an activity. Please allow us to book at least three (3) WRP activities per week and/or at least lessen the minimum hours that we need to accomplish, especially for the graduating students. Lastly, kindly add more walk in activities, particularly during the afternoon. We are hoping for the WRP head and instructors’ understanding. Thank you."
290,8/16/23 23:03:29,8/16/23 23:11:26,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Tuesday 3:00 PM - 4:30 PM;Tuesday 4:30 PM - 6:00 PM;Thursday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,1,"I strongly believe that Community Dance Fitness should have an afternoon session. In that way, it can be cater and accessible to majority of the students. "
291,8/16/23 23:08:23,8/16/23 23:11:29,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Financial Management Track),,,,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 4:30 PM - 6:00 PM;Tuesday 4:30 PM - 6:00 PM;Wednesday 4:30 PM - 6:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,1,n/a
292,8/16/23 22:53:12,8/16/23 23:11:32,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;,Tuesday 9:00 AM - 10:30 AM;Wednesday 10:30 AM - 12:00 PM;Friday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,"- Decrease the number of required hours. (If it is not possible to reduce the required hours for WRP, just increase the number of activities that students can participate in.)

- Allow walk-in during activities aside from CDF.

- Fix the booking system so it doesn't keep crashing every time students use it. 

- Provide a cancel button for WRP bookings in case students misclicked the slot. 

- Bring back the option for students to freely choose the schedule of their activities, as fixed slots cannot always be followed because of unforeseen circumstances. Considering that each student has different types and schedules of midterm and final examinations. 

- PROVIDE BETTER DISSEMINATION OF INFORMATION REGARDING ACTIVITIES."
293,8/16/23 23:08:25,8/16/23 23:11:36,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Interdisciplinary Studies (Philippine Studies and Culture Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 3:00 PM - 4:30 PM;Saturday 4:30 PM - 6:00 PM;Saturday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,1,Remove WRP for junior and senior year
294,8/16/23 23:03:57,8/16/23 23:11:39,,Yes,1st Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Entrepreneurial Management Track),,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Wednesday 10:30 AM - 12:00 PM;Monday 3:00 PM - 4:30 PM;Friday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,5,none
